Name,Address,Phone
1 Church,2533 N John B Dennis Hwy,(423) 612-1748
“Maranata” Baptist Church PC,2500 NE 78th St,
121 Community Church,2701 Ira E Woods Ave,817-488-1213
10:02 Church,2740 Willow Creek Dr,(901) 361-8208
1025 Church,1025 E Spring St,(770) 266-1013
1025 Church Statham,1914 Broad St,
"168 (One, Six, Eight) Church",2129 63rd St,
1040 Global,5972 Kilbeggan St,
21 Fellowship-a Southern Baptist Church,11574 Highway 21 East,936-348-6400
1 Church Loganville,4037 Bailey Cir,(678) 527-9220
1st Laotian Bapitst Chapel,807 E Broadway St,419-693-2688
1st Corinthians 13 Church,6311 Allegheny St,713-748-7075
1st Cowboy Church of Burnet,1004 County Road 252,(512) 756-4349
2 Cities Church,3100 Gentian Blvd Ste B,(706) 780-6898
1st Southern Baptist Church of Penrose,722 N Broadway St,719-372-3670
1 Iglesia Bautista Hispana,440 Upper Peachtree Rd,(828) 557-4843
Antioch Baptist Church,3868 Antioch Church Rd,804-737-0500
"Antioch Baptist Church, Hannibal",59621 Antioch Ln,573-221-6689
"Antioch Baptist Church, Green Ridge",35865 Highway E,(660) 890-4708
"Antioch Baptist Church, Centralia",1249 E Highway 22,(573) 473-6766
Antioch Baptist Church,10 Phillips Place,(617) 899-8365
Antioch Baptist Church,7650 South US1,(352) 217-2827
Antioch #1 Baptist Church,3233 Antioch Church Rd,
Antioch,185 Church Ln,
Antioch,15755 Lock 17 Rd,(205) 477-4325
And Church,20020 Mapes Ave,(323) 973-3330
Anding Baptist Church,7290 Anding Oil City Rd,(662) 571-3098
Antioch,3250 S Rocky Creek Rd,
Amite Baptist Church,7100 Amite Church Rd,(225) 665-2762
Anchor Baptist Church,3601 Winthrop Dr,(859) 296-1214
Amazing Grace Baptist Church,10010 Portage Rd,
Amboy Baptist Church,7930 GA Highway 159,(229) 567-8012
Amistad Baptist Church,26808 S Altas Palmas Rd,
"Amissville Baptist Church, Inc.",776 Viewtown Rd,540-937-6159
Amistad Baptist Church,2433 N 43rd St,254-752-6377
Ambler Baptist Church,2150 PARK AVE,325-673-1998
Antioch Fellowship Missionary Baptist Church,7550 S Hampton Rd,972-228-2420
Antioch East,2303 Old Stage Rd,(334) 382-6828
"Antioch Fellowship Baptist Church, Inc.",1537 Bernard Blvd,(405) 501-7103
Antioch Fellowship Baptist Church,9429 Santoro Sreet,(352) 684-8989
Antioch Fellowship,3679 Berryhill Rd,(850) 994-3111
Antioch Community Church,174 Oxmoor Rd Ste 200,(704) 607-8022
"Antioch, Florence",1198 Old Pearl Road,601-845-8383
"Antioch Community Bible Church, Dallas",4355 Wyoming St Apt 178,214-337-4369
Antioch Community Baptist Church,144 Brooks Woolsey Rd,
Antioch Community Baptist Church,200 Almeda Genoa Rd,713-434-7729
Antioch Church Family,55 E 18th,(925) 778-7454
Antioch Church,PO Box 2291,(562) 591-8778
Antioch Church,7315 Southside Drive,(502) 367-1987
"Antioch Christian Missionary Baptist Church, Dallas",1516 N Prairie Creek Rd,
Antioch Church of Jackson County Inc,99 E Jefferson St,(706) 363-0810
Antioch Christian Fellowship,10558 S W 35th Ave,(503) 998-9292
Antioch Christian Church,2921 Sevierville Rd,(865) 310-4692
Antioch Bible  Baptist Church,800 NE 72nd St,816-436-1649
Antioch Bynum,882 Bynum Blvd,
"Antioch Baptist Church, Wildwood",18319 Wild Horse Creek Rd,636-532-4020
Antioch Baptist Church/dc,1105 50th St NE,202-399-8118
"Antioch Baptist Church, Seymour",651 Antioch Rd,
"Antioch Baptist Church, Mexia",610 N Denton St,254-562-7673
"Antioch Baptist Church, Lovelady",4416 FM 230,936-636-7279
"Antioch Baptist Church, Lebanon",26011 Evanston Rd,
"Antioch, Brandon",2350 Highway 43 S,601-546-2464
Antioch West,2731 Bolling Rd,
Antioch Union Baptist Church,2810 Greenway Rd,(434) 610-0138
Antioch Southern Baptist Church,2601 E Mechanic St,816-884-5324
Antioch Missionary Baptist Church,9748 N IL Highway 148,(618) 244-0630
Antioch Missionary Baptist Church,318 Auburn Ave,248-335-4670
Antioch Southern Baptist Church,514 High Street,570-323-2425
Antioch Missionary Baptist Church,1082 Blue Hill Avenue,617-288-6559
Antioch Missionary Baptist Church,7547 Emerald St,(951) 688-7872
Antioch Missionary Baptist Church,2343 N San Antonio Ave,(909) 621-5369
Antioch Missionary Baptist Church,105 Doe Hill Rd,
Antioch Missionary Baptist Church,5154 Old Hwy 250,(912) 739-0718
Antioch Missionary Baptist Church,14330 NW 154th Pl,(352) 870-1680
Antioch Missionary Baptist Church,3920 W. Cardinal Drive,(409) 842-3146
Antioch Missionary Baptist Church,315 Texas St.,806-249-8020
Antioch Missionary Baptist Church,3883 Us Highway 183 S,(361) 655-28
Antioch Missionary Baptist Church,17422 Fm 317,(903) 873-8618
Antioch Lexington,505 Becks Nursery Rd,
Antioch Korean Baptist Church,3030 Bethany Ln,410-750-7911
Antioch Missionary Baptist Church,1001 N Walters,(210) 225-2452
Antioch International,821 S. Midvale Blvd,(608) 669-6721
Antioch Full Gospel Church of Dallas,9850 Walnut Street,972-699-9191
Amis Chapel,9198 Amis Chapel Rd,(919) 693-3193
Antioch First Baptist Church,2601 Una Antioch Pike,(615) 832-7486
Amiable Baptist Church,814 Melder Rd,(318) 659-4008
Amherst Bible Church,286 Wilson St,715-824-2221
Amherst Baptist Church,100 Willow Ridge Dr,716-691-9456
Amherst Baptist Church,226 Lexington Tpke,434-946-7823
"Ames, University Baptist Church",PMB 375; 809 Wheeler St STE #110,
"Ames, Grand Avenue Baptist Church",612 24th St,515-232-8803
Amherst,1024 Amherst Rd,(828) 437-7803
"Ames, Friendship Baptist Church",2400 Mortensen Rd,515-292-4539
"Ames, Cornerstone Church",56829 US Highway 30,515-232-5488
"Ames, All Nations Church",2732 Thompson Dr,
Ames Baptist Church,101 E Cleo,(580) 753-4254
American Myanmar Mission Church,4516 Cathedral Dr #1702,817-779-2910
"American Indian Baptist Church, San Francisco",422 Leland Ave,(415) 239-9204
Amelia Baptist Church,961167 Buccaneer Trl,(904) 261-9527
American Hungarian Baptist Church,2216 S Fremont Ave,(626) 289-7746
Amelia Baptist Church,9101 Amelia Street,804-561-4512
Amelia Baptist Church,8055 Brighton Street,409-866-4168
"Ambrose Baptist Church, Sherman",214 Munson St,903-965-7355
Amboy Baptist Church of Clark County,41605 NE Gerber McKee Rd,(360) 247-5010
Amboy Baptist Church,5628 MacArthur Dr,(501) 753-0309
"Ambassadors for Christ M.B.C., Jacksonville",1015 Border Street,903-541-0044
Ambassador Baptist Church,8430 Old Maple Ln,281-540-3075
Amazing Grace Worship Center,441 Adams Rd,(606) 794-9730
Amazing Jesus Christ International Church,600 N Queen ST,(310) 774-9150
Amazing Grace Fellowship,14465 RH Johnson Boulevard,(907) 862-4065
Amazing Grace Community Church,3725 Hartsville Rd,(615) 633-4670
Amazing Grace Church,917 N St NW,(202) 643-8083
Amazing Grace Church,155 NW 112th Ave,(754) 422-5193
Amazing Grace Church,1800 S C St Room 7,(805) 276-3629
Amazing Grace Church,18749 Crenshaw Blvd.,(808) 673-8210
Amazing Grace Bible Church,26121 Six Points Rd,
Amazing Grace Baptist Church,** Non-GBMB Church ** 2217 Ledo Rd,(229) 434-0469
Amazing Grace Baptist Church,947 Felder St,(229) 234-7321
Amazing Grace Baptist Church,6282 Lawrenceville Hwy,(404) 455-6802
Amazing Grace Baptist Church,1055 CHRISTIAN CHURCH ROAD,304-856-2773
Amazing Grace Baptist Church,14593 TX 123,(830) 386-0483
Amazing Church,3120 Hudson Crossing BLDG C,(972) 262-9464
Amaziah Baptist Church,1163 CR 10,
Amarillo Deaf Church,3817 Holiday Dr,806-359-3244
Amarillo Mizo Christian Church,4022 NE 26th Ave,717-507-8933
Amarillo Journey Church,9711 FM 2186,806-359-4939
Anchor Baptist,300 Futch Creek Rd,(910) 617-1832
Anastasia Baptist Church SR 16 Campus,110 Circle Drive E,(904) 471-2166
Anchor Baptist,972 NC 152 E,(704) 787-4193
Anastasis Fellowship Church,157 Merion Ln,(443) 220-8019
Anastasia Baptist Church,1650 A1A S,(904) 471-2166
Anapouo Church Hawaii,99-611 Ulune St,808-488-6115
Ana Jarai Baptist Church,4012 Central Ave,(704) 891-3284
Anaconda Baptist Church,422 Pickles Ford Rd,(314) 852-2253
Amy Baptist Church,2498 County Road 7320,(417) 256-4418
Amsterdam Baptist Church,8517 NW High St,660-267-3455
